Trajectories
100
,,Daunel:LFHD,,,Daunel:RFHD,,,Daunel:LBHD,,,Daunel:RBHD,,,Daunel:C7,,,Daunel:T10,,,Daunel:CLAV,,,Daunel:STRN,,,Daunel:RBAK,,,Daunel:LSHO,,,Daunel:LUPA,,,Daunel:LELB,,,Daunel:LFRM,,,Daunel:LWRA,,,Daunel:LWRB,,,Daunel:LFIN,,,Daunel:RSHO,,,Daunel:RUPA,,,Daunel:RELB,,,Daunel:RFRM,,,Daunel:RWRA,,,Daunel:RWRB,,,Daunel:RFIN,,,Daunel:LASI,,,Daunel:RASI,,,Daunel:LPSI,,,Daunel:RPSI,,,Daunel:LTHI,,,Daunel:LKNE,,,Daunel:LTIB,,,Daunel:LANK,,,Daunel:LHEE,,,Daunel:LTOE,,,Daunel:RTHI,,,Daunel:RKNE,,,Daunel:RTIB,,,Daunel:RANK,,,Daunel:RHEE,,,Daunel:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,994.387,-1089.89,1779.26,1128.8,-1161.66,1797.97,953.24,-1222.03,1747.95,1077.39,-1273.43,1743.64,1031.18,-1308.05,1580.6,1035.71,-1384.35,1316.56,1061.33,-1151.35,1498.45,1074.09,-1115.78,1376.7,1113.92,-1381.23,1493.72,899.531,-1223.98,1545.47,781.512,-1274.61,1321.37,790.552,-1298.61,1154.26,761.293,-1232.17,1077.83,821.434,-1113.23,943.553,774.013,-1170.5,950.59,786.417,-1105.71,859.639,1233.62,-1261.77,1562.82,1337.05,-1285.99,1342.71,1323.84,-1320.45,1180.05,,,,1320.32,-1122.01,994.103,1352.48,-1201.27,977.36,1365.61,-1116.51,893.131,927.443,-1166.18,1054.81,1242.35,-1223.02,1048.03,996.538,-1395.67,1131.14,1073.29,-1406.36,1142.47,910.849,-1143.06,795.197,937.6,-1106.5,520.176,930.288,-1158.56,375.818,941.877,-1224.82,151.099,978.285,-1318.79,152.496,967.385,-1144.58,123.221,1255.03,-1268.01,850.5,1211.08,-1279.37,585.626,1214.22,-1309.46,420.226,1177.3,-1350.59,167.938,1136.92,-1416.93,222.398,1163.14,-1298.44,132.545
2,0,993.935,-1086.97,1778.89,1129.29,-1156.79,1797.88,954.564,-1219.85,1748.25,1079.43,-1269.52,1744.19,1032.67,-1305.32,1580.85,1037.08,-1382.02,1316.92,1061.84,-1148.6,1498.57,1074.3,-1113.16,1376.7,1115.77,-1378.2,1493.98,900.523,-1222.06,1545.91,781.943,-1273.93,1322.54,790.574,-1298.77,1155.5,760.982,-1232.81,1078.7,820.421,-1114.68,943.505,773.106,-1171.92,950.913,785.189,-1107.87,859.593,1234.86,-1257.89,1562.89,1338.12,-1280.22,1342.55,1325.24,-1313.47,1179.5,,,,1319.5,-1113.49,995.052,1352.51,-1192.57,977.702,1364.73,-1107.22,894.179,928.353,-1164.09,1055.54,1242.93,-1221.59,1047.73,997.053,-1393.47,1131.53,1073.8,-1404.3,1142.85,912.202,-1137.97,796.224,940.033,-1099.92,521.586,933.765,-1152.18,377.218,946.919,-1219.3,152.882,982.666,-1313.59,155.038,973.386,-1139.42,124.624,1255.19,-1267.19,850.362,1211.18,-1279.27,585.636,1214.27,-1309.51,420.259,1177.25,-1350.74,167.988,1136.79,-1417.07,222.442,1163.15,-1298.63,132.692
3,0,993.421,-1083.82,1778.48,1129.7,-1151.78,1797.87,955.803,-1217.36,1748.59,1081.31,-1265.41,1744.72,1034.16,-1302.39,1581.18,1038.51,-1379.5,1317.37,1062.33,-1145.6,1498.7,1074.58,-1110.34,1376.75,1117.75,-1374.92,1494.39,901.59,-1219.93,1546.32,782.473,-1273.23,1323.66,790.603,-1298.89,1156.79,760.693,-1233.52,1079.63,819.156,-1116.24,943.405,771.812,-1173.64,951.497,783.713,-1110.12,859.488,1236.03,-1253.81,1563.1,1339.21,-1274.1,1342.43,1326.45,-1306.39,1179.2,,,,1318.51,-1105.52,996.2,1352.29,-1183.69,978.263,1363.75,-1097.34,895.341,929.302,-1161.83,1056.36,1243.42,-1219.78,1047.48,997.398,-1391.13,1132.12,1074.2,-1402.07,1143.26,913.254,-1133.31,797.923,942.566,-1093.33,523,937.314,-1145.54,378.511,952.053,-1212.85,154.337,987.019,-1307.43,156.989,979.538,-1133.27,126.149,1255.35,-1266.41,850.243,1211.23,-1279.17,585.615,1214.3,-1309.59,420.327,1177.28,-1350.86,168.011,1136.62,-1417.15,222.506,1163.25,-1298.66,132.888
4,0,992.868,-1080.47,1778.15,1129.97,-1146.63,1797.88,956.997,-1214.69,1748.97,1083.03,-1261.11,1745.3,1035.6,-1299.21,1581.51,1039.96,-1376.7,1317.88,1062.84,-1142.29,1498.9,1074.82,-1107.24,1376.86,1119.74,-1371.4,1494.82,902.586,-1217.59,1546.73,783.042,-1272.49,1324.86,790.603,-1299.01,1158.14,760.097,-1234.24,1080.67,817.752,-1117.87,943.283,770.631,-1175.35,951.961,781.977,-1112.58,859.412,1237.22,-1249.39,1563.41,1340.14,-1267.95,1342.49,1327.49,-1299.31,1179.05,,,,1317.37,-1097,997.547,1351.83,-1174.63,978.923,1362.34,-1087.61,896.756,930.25,-1159.31,1057.27,1243.77,-1217.96,1047.22,997.669,-1388.57,1132.76,1074.51,-1399.67,1143.8,914.226,-1128.96,799.183,945.222,-1086.66,524.321,940.992,-1138.5,379.622,957.213,-1205.5,155.329,991.513,-1300.36,158.375,985.717,-1126.01,127.388,1255.4,-1265.49,850.114,1211.21,-1279.04,585.609,1214.31,-1309.65,420.38,1177.21,-1351.05,168.03,1136.46,-1417.23,222.555,1163.15,-1299.23,132.789
5,0,992.306,-1076.95,1777.87,1130.14,-1141.4,1798.01,958.14,-1211.69,1749.32,1084.57,-1256.65,1745.9,1037.05,-1295.81,1581.91,1041.47,-1373.68,1318.35,1063.28,-1138.84,1499.13,1075.08,-1103.92,1377.04,1121.71,-1367.59,1495.32,903.561,-1215.09,1547.13,783.538,-1271.5,1325.99,790.649,-1299.04,1159.5,759.668,-1235.07,1081.69,816.153,-1119.51,943.119,769.32,-1177.23,952.437,780.171,-1115.08,859.28,1238.36,-1244.79,1563.85,1340.99,-1261.74,1342.73,1328.53,-1292.1,1179.01,,,,1316.03,-1088.31,999.166,1351.32,-1165.54,979.853,1360.94,-1077.72,898.627,931.236,-1156.68,1058.21,1244.57,-1216.88,1046.92,997.83,-1385.84,1133.51,1074.72,-1397.21,1144.4,915.459,-1124.54,800.683,947.899,-1080.16,525.586,944.87,-1131.26,380.475,962.191,-1197.29,155.906,995.923,-1292.24,158.934,991.414,-1117.79,128.362,1255.4,-1264.62,849.998,1211.17,-1278.96,585.659,1214.08,-1309.89,420.438,1177.17,-1351.23,168.21,1136.28,-1417.38,222.625,1163.14,-1299.25,132.928
6,0,991.689,-1073.2,1777.64,1130.12,-1136.04,1798.14,958.953,-1208.48,1749.59,1086,-1252.01,1746.52,1038.46,-1292.11,1582.28,1042.97,-1370.41,1318.9,1063.67,-1135.11,1499.31,1075.36,-1100.36,1377.15,1123.69,-1363.52,1495.82,904.571,-1212.26,1547.45,784.355,-1270.56,1327.17,790.766,-1299.09,1160.95,759.214,-1235.89,1082.69,814.35,-1121.24,942.921,768.046,-1179.2,952.842,778.093,-1117.81,859.094,1239.62,-1239.65,1564.26,1341.93,-1255.27,1343.02,1329.52,-1284.8,1179.02,,,,1314.71,-1079.6,1000.97,1350.58,-1156.43,980.841,1359.24,-1067.4,900.433,932.224,-1153.87,1059.18,1245.03,-1215.02,1046.58,997.939,-1382.94,1134.32,1074.85,-1394.53,1144.94,916.95,-1119.73,801.91,950.655,-1073.7,526.867,948.431,-1123.74,381.289,967.121,-1188.22,156.301,1000.52,-1283.29,158.975,996.665,-1108.58,129.335,1255.53,-1263.76,849.806,1211.08,-1278.99,585.711,1214.01,-1310.09,420.58,1177.07,-1351.41,168.21,1136.13,-1417.56,222.686,1163.1,-1299.41,133.045
7,0,991.01,-1069.33,1777.42,1130.04,-1130.6,1798.28,959.858,-1205.07,1749.77,1087.24,-1247.24,1747,1039.85,-1288.13,1582.56,1044.48,-1366.89,1319.39,1064.12,-1131.09,1499.53,1075.7,-1096.57,1377.27,1125.67,-1359.16,1496.3,905.532,-1209.18,1547.73,785.077,-1269.48,1328.32,791.013,-1299.06,1162.41,758.779,-1236.76,1083.67,812.329,-1123.07,942.62,766.582,-1181.33,953.282,775.838,-1120.73,858.88,1240.63,-1234.54,1564.83,1342.89,-1248.81,1343.45,1330.55,-1277.49,1179.1,,,,1312.87,-1070.5,1002.99,1349.38,-1146.72,981.724,1357.17,-1057.26,902.514,933.08,-1150.88,1060.06,1245.39,-1213.09,1046.16,998.017,-1379.88,1135.17,1074.94,-1391.77,1145.58,918.295,-1115.25,803.149,953.385,-1067.48,528.118,951.975,-1116.11,381.955,971.72,-1178.25,156.389,1005.18,-1273.36,158.359,1001.44,-1098.35,130.246,1255.49,-1262.81,849.648,1210.89,-1279.02,585.736,1213.78,-1310.31,420.637,1176.85,-1351.71,168.13,1135.91,-1417.75,222.745,1163.04,-1299.59,133.174
8,0,990.262,-1065.3,1777.11,1129.9,-1125.07,1798.48,960.525,-1201.45,1749.82,1088.37,-1242.33,1747.45,1041.18,-1283.94,1582.85,1045.95,-1363.22,1319.94,1064.54,-1126.89,1499.65,1076,-1092.54,1377.27,1127.6,-1354.58,1496.75,906.465,-1205.89,1548.01,785.872,-1268.17,1329.48,791.281,-1298.94,1163.96,758.375,-1237.7,1084.68,810.147,-1124.69,942.429,765.016,-1183.7,953.711,773.464,-1123.97,858.565,1241.66,-1229.01,1565.24,1343.84,-1242.13,1343.89,1331.63,-1270.07,1179.2,,,,1311.2,-1061.48,1005.12,1348.33,-1137.15,982.922,1355.03,-1046.67,904.563,933.953,-1147.82,1060.82,1245.73,-1211.12,1045.92,998.035,-1376.69,1136.02,1075.02,-1388.81,1146.28,919.753,-1110.72,804.278,956.061,-1061.4,529.375,955.294,-1108.38,382.551,976.059,-1167.46,156.272,1009.8,-1262.43,157.187,1005.79,-1087.18,131.214,1255.34,-1261.73,849.466,1210.63,-1279.04,585.735,1213.56,-1310.59,420.757,1176.35,-1352.25,167.849,1135.66,-1417.96,222.797,1163.03,-1299.76,133.304
9,0,989.47,-1061.13,1776.81,1129.62,-1119.47,1798.61,961.167,-1197.58,1749.71,1089.38,-1237.21,1747.74,1042.49,-1279.45,1583.07,1047.37,-1359.33,1320.4,1064.93,-1122.42,1499.64,1076.32,-1088.32,1377.15,1129.56,-1349.72,1497.2,907.426,-1202.28,1548.16,786.785,-1266.79,1330.52,792.036,-1298.86,1165.37,757.995,-1238.57,1085.61,807.907,-1126.85,941.801,763.592,-1185.96,954.006,770.869,-1127.17,858.179,1242.61,-1223.35,1565.68,1344.85,-1235.32,1344.28,1332.81,-1262.69,1179.32,,,,1309.41,-1052.41,1007.3,1347.2,-1127.5,984.139,1352.54,-1036.28,906.803,934.804,-1144.58,1061.49,1246.01,-1208.9,1045.52,998.114,-1373.37,1136.83,1075.15,-1385.7,1146.89,921.171,-1106.24,805.333,958.673,-1055.38,530.565,958.386,-1100.24,383.048,980.145,-1155.79,155.87,1014.22,-1250.81,155.754,1009.71,-1075.12,131.908,1255.28,-1260.73,849.366,1210.34,-1279.08,585.733,1213.33,-1310.91,420.883,1176.24,-1352.42,167.963,1135.31,-1418.1,222.863,1163.07,-1299.9,133.463
