Trajectories
100
,,Daunel:LFHD,,,Daunel:RFHD,,,Daunel:LBHD,,,Daunel:RBHD,,,Daunel:C7,,,Daunel:T10,,,Daunel:CLAV,,,Daunel:STRN,,,Daunel:RBAK,,,Daunel:LSHO,,,Daunel:LUPA,,,Daunel:LELB,,,Daunel:LFRM,,,Daunel:LWRA,,,Daunel:LWRB,,,Daunel:LFIN,,,Daunel:RSHO,,,Daunel:RUPA,,,Daunel:RELB,,,Daunel:RFRM,,,Daunel:RWRA,,,Daunel:RWRB,,,Daunel:RFIN,,,Daunel:LASI,,,Daunel:RASI,,,Daunel:LPSI,,,Daunel:RPSI,,,Daunel:LTHI,,,Daunel:LKNE,,,Daunel:LTIB,,,Daunel:LANK,,,Daunel:LHEE,,,Daunel:LTOE,,,Daunel:RTHI,,,Daunel:RKNE,,,Daunel:RTIB,,,Daunel:RANK,,,Daunel:RHEE,,,Daunel:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,1096.51,-1045.12,1809.18,1213.69,-1144.05,1806.7,1025.53,-1161.93,1770.58,1135.27,-1236.29,1748.35,1093.49,-1249.96,1593.71,1100,-1319.03,1331.85,1122.5,-1085.62,1498.02,1129.99,-1053.13,1391.89,1179.26,-1319.45,1505.74,957.257,-1168.45,1560.17,857.652,-1213.81,1324.9,887.406,-1228.87,1161.15,842.848,-1175.68,1084.6,866.513,-1060.32,936.872,840.596,-1129.17,948.972,836.973,-1073.26,851.131,1295.83,-1196.87,1573.42,1379.46,-1238.92,1348.12,1346.8,-1280.03,1211.41,,,,1405.26,-1130.28,977.648,1398.66,-1216.8,972.981,1436.2,-1160.78,872.735,980.78,-1104.52,1065.22,1297.04,-1154.95,1062.2,1057.69,-1327.37,1152.53,1135.69,-1338.09,1158.61,954.361,-1144.71,801.942,981.596,-1147.85,518.393,973.265,-1165.27,364.978,987.547,-1177.58,125.991,1020.17,-1274.95,118.827,1018.63,-1095.25,107.032,1316.91,-1198.23,867.112,1276.37,-1211.33,606.863,1285.99,-1234.23,448.248,1268.97,-1246.63,194.544,1221.18,-1317.96,248.186,1251.44,-1196.69,136.962
2,0,1096.7,-1045.08,1809.33,1213.87,-1144.16,1806.72,1025.7,-1162.06,1770.61,1135.44,-1236.39,1748.35,1093.69,-1250.05,1593.71,1100.21,-1319.07,1331.82,1122.67,-1085.72,1498.01,1130.12,-1053.24,1391.88,1179.45,-1319.52,1505.74,957.426,-1168.58,1560.18,857.845,-1214.02,1324.91,887.602,-1229.1,1161.17,842.97,-1175.91,1084.54,866.602,-1060.57,936.877,840.821,-1129.48,948.96,837.097,-1073.63,851.121,1296.01,-1196.94,1573.41,1379.6,-1238.97,1348.1,1346.92,-1280.05,1211.39,,,,1405.33,-1130.32,977.607,1398.74,-1216.82,972.934,1436.25,-1160.78,872.703,980.956,-1104.59,1065.23,1297.19,-1154.98,1062.16,1057.88,-1327.42,1152.52,1135.88,-1338.13,1158.61,954.498,-1144.78,801.977,981.676,-1147.88,518.428,973.323,-1165.28,364.994,987.579,-1177.58,125.997,1020.21,-1274.94,118.789,1018.63,-1095.25,107.036,1317.04,-1198.24,867.115,1276.47,-1211.37,606.846,1286.06,-1234.29,448.222,1269.26,-1246.21,194.751,1221.21,-1317.97,248.178,1251.62,-1196.01,137.518
3,0,1096.85,-1045.21,1809.32,1214.05,-1144.27,1806.7,1025.87,-1162.18,1770.62,1135.65,-1236.49,1748.33,1093.87,-1250.13,1593.7,1100.41,-1319.15,1331.8,1122.84,-1085.81,1497.99,1130.24,-1053.33,1391.89,1179.61,-1319.58,1505.74,957.606,-1168.72,1560.17,858.029,-1214.22,1324.91,887.803,-1229.31,1161.19,843.117,-1176.18,1084.56,866.691,-1060.86,936.881,840.908,-1129.81,948.937,837.19,-1073.99,851.111,1296.19,-1197.01,1573.42,1379.76,-1239,1348.07,1347.06,-1280.11,1211.35,,,,1405.41,-1130.36,977.568,1398.82,-1216.84,972.908,1436.32,-1160.79,872.647,981.128,-1104.65,1065.24,1297.36,-1155,1062.18,1058.05,-1327.47,1152.53,1136.07,-1338.16,1158.59,954.603,-1144.82,801.99,981.763,-1147.89,518.413,973.33,-1165.29,364.995,987.57,-1177.6,126.001,1019.98,-1274.72,118.788,1018.65,-1095.25,107.043,1317.22,-1198.43,867.17,1276.59,-1211.4,606.837,1286.11,-1234.35,448.215,1269.28,-1246.22,194.731,1221.25,-1317.99,248.16,1251.64,-1196.03,137.498
4,0,1096.97,-1045.47,1809.22,1214.22,-1144.38,1806.71,1026.05,-1162.29,1770.62,1135.85,-1236.6,1748.32,1094.05,-1250.2,1593.69,1100.59,-1319.23,1331.79,1123,-1085.88,1497.99,1130.41,-1053.42,1391.87,1179.82,-1319.67,1505.72,957.785,-1168.84,1560.14,858.233,-1214.41,1324.9,888.023,-1229.51,1161.19,843.316,-1176.41,1084.56,867.031,-1061.34,936.681,841.118,-1130.12,948.913,837.308,-1074.32,851.047,1296.39,-1197.09,1573.4,1379.9,-1239.03,1348.03,1347.19,-1280.15,1211.33,,,,1405.49,-1130.38,977.552,1398.9,-1216.87,972.864,1436.38,-1160.83,872.587,981.287,-1104.74,1065.22,1297.54,-1155.02,1062.18,1058.23,-1327.51,1152.51,1136.25,-1338.23,1158.59,954.741,-1144.88,802.012,981.842,-1147.93,518.425,973.397,-1165.34,365.039,987.572,-1177.62,126.036,1020.22,-1274.97,118.84,1018.68,-1095.24,107.04,1317.33,-1198.45,867.138,1276.67,-1211.48,606.823,1286.2,-1234.4,448.206,1269.31,-1246.22,194.73,1221.27,-1318.02,248.148,1251.62,-1196.03,137.501
5,0,1097.14,-1045.56,1809.24,1214.42,-1144.46,1806.72,1026.24,-1162.39,1770.64,1136.03,-1236.69,1748.34,1094.23,-1250.3,1593.69,1100.79,-1319.3,1331.79,1123.19,-1085.97,1498,1130.55,-1053.52,1391.87,1180,-1319.74,1505.71,957.968,-1168.98,1560.14,858.419,-1214.57,1324.91,888.212,-1229.66,1161.2,843.5,-1176.66,1084.58,867.124,-1061.62,936.628,841.184,-1130.42,948.891,837.388,-1074.63,851.003,1296.57,-1197.15,1573.38,1380.05,-1239.07,1347.96,1347.32,-1280.2,1211.31,,,,1405.57,-1130.45,977.48,1399,-1216.91,972.82,1436.44,-1160.83,872.555,981.469,-1104.81,1065.21,1297.7,-1155.05,1062.16,1058.38,-1327.57,1152.52,1136.41,-1338.27,1158.58,954.882,-1144.95,802.01,981.943,-1147.98,518.445,973.469,-1165.35,365.029,987.609,-1177.61,126.048,1020.23,-1274.95,118.782,1018.66,-1095.27,107.066,1317.46,-1198.45,867.142,1276.77,-1211.52,606.842,1286.27,-1234.44,448.197,1269.35,-1246.21,194.702,1221.31,-1318.03,248.15,1251.65,-1196.04,137.508
6,0,1097.29,-1045.49,1809.39,1214.59,-1144.53,1806.73,1026.42,-1162.47,1770.65,1136.21,-1236.77,1748.36,1094.4,-1250.39,1593.68,1101,-1319.34,1331.77,1123.33,-1086.06,1498.01,1130.7,-1053.62,1391.87,1180.17,-1319.83,1505.71,958.138,-1169.1,1560.13,858.609,-1214.72,1324.9,888.42,-1229.82,1161.21,843.667,-1176.88,1084.6,867.078,-1061.77,936.673,841.321,-1130.71,948.874,837.467,-1074.98,850.968,1296.75,-1197.24,1573.37,1380.19,-1239.12,1347.94,1347.42,-1280.27,1211.3,,,,1405.63,-1130.5,977.469,1399.08,-1216.97,972.781,1436.5,-1160.9,872.484,981.632,-1104.87,1065.19,1297.85,-1155.08,1062.15,1058.56,-1327.61,1152.53,1136.6,-1338.3,1158.57,955.024,-1145.01,802.064,982.028,-1148.01,518.458,973.565,-1165.63,365.16,987.617,-1177.61,126.058,1020.21,-1274.95,118.846,1018.68,-1095.24,107.085,1317.65,-1198.58,867.143,1276.91,-1211.56,606.856,1286.33,-1234.49,448.194,1269.35,-1246.23,194.652,1221.35,-1318.03,248.121,1251.66,-1196.07,137.51
7,0,1097.49,-1045.72,1809.25,1214.78,-1144.6,1806.73,1026.6,-1162.55,1770.66,1136.41,-1236.84,1748.38,1094.59,-1250.46,1593.67,1101.18,-1319.4,1331.74,1123.52,-1086.16,1497.99,1130.87,-1053.71,1391.87,1180.36,-1319.92,1505.7,958.31,-1169.21,1560.12,858.796,-1214.84,1324.9,888.619,-1229.95,1161.21,843.81,-1177.07,1084.6,867.183,-1062.05,936.589,841.411,-1130.95,948.874,837.516,-1075.28,850.947,1296.94,-1197.31,1573.34,1380.34,-1239.19,1347.89,1347.54,-1280.35,1211.28,,,,1405.74,-1130.57,977.41,1399.17,-1217.04,972.746,1436.56,-1160.94,872.448,981.775,-1104.93,1065.19,1298.01,-1155.14,1062.14,1058.73,-1327.68,1152.51,1136.79,-1338.34,1158.56,955.156,-1145.08,802.092,982.099,-1148.04,518.466,973.619,-1165.67,365.195,987.644,-1177.62,126.064,1020.19,-1274.96,118.872,1018.7,-1095.27,107.06,1317.76,-1198.6,867.129,1276.97,-1211.61,606.824,1286.43,-1234.51,448.182,1269.42,-1246.26,194.708,1221.42,-1318.05,248.109,1251.68,-1196.07,137.498
8,0,1097.66,-1045.79,1809.26,1214.94,-1144.67,1806.74,1026.8,-1162.61,1770.66,1136.59,-1236.91,1748.41,1094.77,-1250.54,1593.65,1101.35,-1319.43,1331.74,1123.65,-1086.27,1498,1131.03,-1053.8,1391.86,1180.53,-1320.01,1505.67,958.483,-1169.29,1560.11,858.976,-1215,1324.95,888.809,-1230.07,1161.22,843.969,-1177.27,1084.63,867.277,-1062.32,936.555,841.481,-1131.2,948.888,837.571,-1075.56,850.915,1297.11,-1197.39,1573.35,1380.49,-1239.27,1347.85,1347.66,-1280.42,1211.25,,,,1405.82,-1130.62,977.394,1399.26,-1217.09,972.689,1436.7,-1161.05,872.472,981.912,-1105.01,1065.19,1298.18,-1155.16,1062.12,1058.93,-1327.74,1152.52,1136.96,-1338.39,1158.54,955.266,-1145.15,802.112,982.154,-1148.09,518.503,973.627,-1165.7,365.223,987.631,-1177.63,126.09,1020.24,-1274.95,118.806,1018.7,-1095.27,107.097,1317.88,-1198.65,867.155,1277.08,-1211.68,606.83,1286.48,-1234.55,448.187,1269.41,-1246.29,194.674,1221.45,-1318.05,248.104,1251.67,-1196.11,137.512
9,0,1097.83,-1045.84,1809.27,1215.1,-1144.74,1806.76,1026.97,-1162.69,1770.67,1136.76,-1236.98,1748.43,1094.94,-1250.64,1593.67,1101.52,-1319.48,1331.75,1123.85,-1086.37,1498,1131.18,-1053.91,1391.87,1180.69,-1320.08,1505.66,958.663,-1169.39,1560.12,859.159,-1215.13,1324.97,888.983,-1230.21,1161.25,844.092,-1177.44,1084.67,867.377,-1062.53,936.503,841.56,-1131.4,948.908,837.64,-1075.79,850.912,1297.29,-1197.48,1573.34,1380.65,-1239.36,1347.84,1347.81,-1280.48,1211.22,,,,1405.9,-1130.7,977.381,1399.36,-1217.16,972.674,1436.75,-1161.06,872.409,982.063,-1105.06,1065.2,1298.34,-1155.19,1062.13,1059.1,-1327.78,1152.53,1137.15,-1338.42,1158.55,955.388,-1145.23,802.156,982.245,-1148.13,518.514,973.69,-1165.72,365.24,987.649,-1177.65,126.109,1020.24,-1274.97,118.849,1018.7,-1095.27,107.097,1318.03,-1198.7,867.154,1277.17,-1211.74,606.849,1286.52,-1234.65,448.16,1269.47,-1246.29,194.69,1221.49,-1318.05,248.094,1251.69,-1196.11,137.505
10,0,1097.99,-1045.8,1809.38,1215.27,-1144.79,1806.77,1027.13,-1162.75,1770.67,1136.94,-1237.06,1748.46,1095.12,-1250.72,1593.67,1101.68,-1319.54,1331.74,1124.01,-1086.45,1497.99,1131.33,-1054.02,1391.85,1180.86,-1320.16,1505.64,958.84,-1169.45,1560.12,859.311,-1215.21,1324.94,889.149,-1230.32,1161.27,844.223,-1177.58,1084.68,867.451,-1062.74,936.48,841.775,-1131.63,948.874,837.687,-1076.02,850.903,1297.47,-1197.55,1573.31,1380.8,-1239.47,1347.82,1347.92,-1280.59,1211.19,,,,1406.02,-1130.78,977.346,1399.46,-1217.21,972.62,1436.89,-1161.17,872.417,982.188,-1105.11,1065.2,1298.48,-1155.23,1062.1,1059.29,-1327.83,1152.52,1137.34,-1338.44,1158.52,955.502,-1145.27,802.18,982.296,-1148.17,518.524,973.724,-1165.77,365.25,987.666,-1177.65,126.102,1020.26,-1274.97,118.803,1018.71,-1095.26,107.085,1318.15,-1198.72,867.13,1277.26,-1211.8,606.807,1286.61,-1234.67,448.147,1269.49,-1246.31,194.678,1221.51,-1318.09,248.062,1251.71,-1196.13,137.521
11,0,1098.17,-1045.88,1809.37,1215.45,-1144.86,1806.78,1027.31,-1162.82,1770.68,1137.12,-1237.12,1748.46,1095.3,-1250.77,1593.69,1101.83,-1319.62,1331.75,1124.22,-1086.52,1497.98,1131.5,-1054.12,1391.84,1181.03,-1320.22,1505.63,959.018,-1169.51,1560.12,859.482,-1215.33,1324.96,889.292,-1230.43,1161.31,844.326,-1177.72,1084.71,867.488,-1062.9,936.477,841.785,-1131.8,948.916,837.756,-1076.22,850.907,1297.63,-1197.63,1573.29,1380.95,-1239.55,1347.77,1348.08,-1280.67,1211.16,,,,1406.14,-1130.87,977.302,1399.56,-1217.3,972.595,1437,-1161.25,872.366,982.333,-1105.18,1065.21,1298.62,-1155.29,1062.08,1059.45,-1327.87,1152.53,1137.52,-1338.5,1158.51,955.612,-1145.33,802.197,982.37,-1148.2,518.536,973.767,-1165.81,365.272,987.666,-1177.66,126.112,1020.29,-1275.01,118.815,1018.7,-1095.27,107.097,1318.28,-1198.79,867.153,1277.35,-1211.86,606.814,1286.67,-1234.73,448.147,1269.31,-1246.64,194.53,1221.54,-1318.13,248.058,1251.62,-1196.56,137.201
12,0,1098.38,-1046.05,1809.29,1215.64,-1144.93,1806.81,1027.48,-1162.89,1770.69,1137.29,-1237.2,1748.49,1095.49,-1250.82,1593.69,1102.01,-1319.65,1331.74,1124.38,-1086.61,1497.97,1131.67,-1054.22,1391.81,1181.21,-1320.3,1505.64,959.2,-1169.57,1560.15,859.642,-1215.39,1324.99,889.44,-1230.52,1161.35,844.445,-1177.83,1084.75,867.542,-1063.01,936.473,841.876,-1131.95,948.946,837.804,-1076.41,850.915,1297.8,-1197.7,1573.25,1381.14,-1239.58,1347.76,1348.2,-1280.79,1211.18,,,,1406.27,-1130.98,977.3,1399.69,-1217.42,972.561,1437.08,-1161.33,872.34,982.26,-1104.89,1065.5,1298.76,-1155.33,1062.06,1059.63,-1327.92,1152.55,1137.68,-1338.53,1158.52,955.73,-1145.37,802.217,982.436,-1148.23,518.559,973.803,-1165.66,365.212,987.672,-1177.65,126.113,1020.3,-1274.97,118.809,1018.72,-1095.26,107.116,1318.41,-1198.85,867.149,1277.43,-1211.93,606.815,1286.74,-1234.76,448.135,1269.53,-1246.35,194.671,1221.56,-1318.1,248.012,1251.75,-1196.14,137.531
13,0,1098.55,-1046.11,1809.3,1215.82,-1144.97,1806.79,1027.66,-1162.97,1770.7,1137.46,-1237.27,1748.49,1095.67,-1250.89,1593.69,1102.19,-1319.72,1331.75,1124.54,-1086.67,1497.96,1131.82,-1054.28,1391.8,1181.37,-1320.37,1505.64,959.378,-1169.64,1560.15,859.789,-1215.46,1325.01,889.579,-1230.64,1161.39,844.557,-1177.93,1084.78,867.608,-1063.13,936.504,841.964,-1132.09,948.961,837.878,-1076.55,850.911,1297.98,-1197.77,1573.23,1381.28,-1239.68,1347.73,1348.34,-1280.87,1211.14,,,,1406.41,-1131.1,977.269,1399.82,-1217.54,972.561,1437.18,-1161.42,872.313,982.385,-1104.96,1065.52,1298.91,-1155.37,1062.06,1059.81,-1327.97,1152.53,1137.86,-1338.57,1158.51,955.824,-1145.44,802.225,982.509,-1148.25,518.558,973.85,-1165.68,365.229,987.673,-1177.67,126.137,1020.33,-1275,118.8,1018.74,-1095.25,107.105,1318.56,-1198.91,867.143,1277.53,-1212.01,606.81,1286.78,-1234.83,448.12,1269.55,-1246.4,194.656,1221.58,-1318.14,248.009,1251.75,-1196.15,137.56
