,,Daunel:LFHD,,,Daunel:RFHD,,,Daunel:LBHD,,,Daunel:RBHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,
Frame,Sub Frame, X, Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,0,1029.71,-1101.71,1783.7,1175.89,-1145.24,1800.8,1015.9,-1239.29,1751.14,1147.59,-1264.5,1745.56,1104.04,-1307.38,1583.7,1118.03,-1386.82,1320.93,1106.96,-1149.03,1499.56,1113.75,-1114.18,1376.39,1197.61,-1366.23,1498,960.725,-1249.84,1548.64,853.481,-1335.2,1330.69,863.337,-1364.94,1165.29,816.114,-1312,1087.66,840.146,-1189.38,944.896,808.866,-1256.68,957.301,803.019,-1198.76,861.87,1295.29,-1227.71,1564.6,1404.8,-1265.89,1352.7,1395.95,-1324.22,1196.89,,,,1400.29,-1152.06,985.536,1431.64,-1233.22,981.068,1446.29,-1161.37,885.156,982.86,-1180.67,1068.99,1296.56,-1223.05,1038.89,1064.21,-1404.61,1139.54,1143.06,-1411.22,1147.92,963.539,-1129.16,819.037,991.822,-1051.97,546.05,990.676,-1061.16,392.157,1012.78,-1058.5,156.878,1053.2,-1150.57,140.364,1038.11,-971.345,144.408,1305.15,-1282.24,843.661,1259.11,-1314.38,580.18,1260.52,-1348.21,414.528,1222.15,-1396.18,164.494,1187.99,-1465.72,215.929,1203.14,-1341.97,133.72
2,0,1028.43,-1094.88,1782.22,1174.84,-1137.5,1799.86,1015.53,-1232.7,1750.22,1147.33,-1257.55,1745.35,1103.68,-1300.93,1583.22,1117.85,-1381.38,1320.78,1106.79,-1142.91,1498.49,1113.79,-1108.5,1375.23,1197.37,-1360.26,1497.85,960.449,-1243.46,1547.84,853.52,-1330.11,1330.34,863.648,-1361.09,1165.35,816.055,-1309.32,1087.26,839.536,-1188.44,942.843,808.581,-1255.65,956.231,802.201,-1198.91,860.022,1295.02,-1221.56,1564.08,1404.86,-1260.07,1352.36,1396.34,-1318.49,1196.47,,,,1400.51,-1146.08,985.332,1431.95,-1227.17,980.755,1446.55,-1155.14,884.95,983.295,-1175.71,1068.52,1297.15,-1220.28,1037.97,1063.88,-1399.76,1139.42,1142.66,-1406.62,1147.93,964.203,-1124.52,818.65,992.933,-1044.99,545.996,991.686,-1049.38,391.793,1013.96,-1040.14,156.561,1053.39,-1132.25,137.781,1040.22,-952.826,146.087,1305.4,-1279.73,843.236,1259.26,-1313.02,579.907,1260.76,-1347.39,414.389,1222.22,-1396,164.437,1187.88,-1465.29,216.016,1203.36,-1341.85,133.535
3,0,1027.16,-1087.87,1780.65,1173.79,-1129.53,1798.82,1015.14,-1225.85,1749.23,1147.04,-1250.03,1744.81,1103.22,-1294.35,1582.72,1117.62,-1375.77,1320.58,1106.6,-1136.61,1497.43,1113.78,-1102.67,1374.05,1197.01,-1354.17,1497.69,960.094,-1236.87,1546.95,853.529,-1324.91,1329.98,863.961,-1357.06,1165.24,816.083,-1306.44,1086.68,838.906,-1187.25,940.834,807.962,-1254.29,955.082,801.486,-1198.84,858.153,1294.72,-1215.2,1563.5,1404.82,-1254.11,1351.94,1396.57,-1312.58,1196.03,,,,1400.69,-1139.84,985.204,1432.22,-1220.94,980.448,1446.77,-1148.75,884.791,983.695,-1170.51,1068,1297.44,-1216.57,1037.14,1063.59,-1394.73,1139.26,1142.3,-1401.86,1147.9,964.779,-1119.71,818.113,993.982,-1037.89,545.853,992.578,-1037.68,391.562,1015,-1021.78,156.565,1053.45,-1113.72,135.403,1042.57,-934.269,147.949,1305.56,-1276.97,842.744,1259.4,-1311.45,579.552,1260.97,-1346.5,414.188,1222.75,-1395.41,164.973,1187.82,-1464.86,216.15,1203.37,-1341.85,133.255
4,0,1025.89,-1080.61,1779.02,1172.64,-1121.39,1797.72,1014.64,-1218.84,1748.26,1146.76,-1242,1744,1102.76,-1287.61,1582.19,1117.38,-1369.98,1320.29,1106.36,-1130.14,1496.32,1113.77,-1096.66,1372.84,1196.61,-1347.87,1497.48,959.697,-1230.05,1545.96,853.436,-1319.35,1329.44,864.146,-1352.8,1165.16,815.956,-1303.31,1086.14,838.331,-1185.82,938.733,807.518,-1252.76,953.913,800.818,-1198.58,856.285,1294.33,-1208.78,1562.92,1404.72,-1248.06,1351.54,1396.71,-1306.46,1195.49,,,,1400.73,-1133.34,984.87,1432.39,-1214.45,980.064,1446.92,-1142.1,884.599,984.12,-1165.11,1067.41,1297.71,-1212.59,1036.3,1063.31,-1389.55,1139.06,1142.02,-1396.85,1147.84,965.352,-1114.77,817.596,994.869,-1030.56,545.648,993.607,-1026.01,391.531,1016.02,-1003.42,156.852,1053.58,-1095.41,133.57,1044.14,-916.105,150.096,1305.7,-1274.03,842.163,1259.59,-1309.85,579.234,1261.15,-1345.52,414.021,1222.84,-1395.16,164.924,1187.7,-1464.43,216.352,1203.53,-1341.7,133.126
5,0,1024.57,-1073.14,1777.33,1171.5,-1113.16,1796.53,1014.1,-1211.62,1747.21,1146.35,-1234.1,1743.33,1102.13,-1280.65,1581.47,1117.12,-1363.97,1320,1106.05,-1123.49,1495.13,1113.73,-1090.47,1371.54,1196.13,-1341.41,1497.23,959.286,-1223.04,1544.9,853.338,-1313.58,1328.86,864.265,-1348.18,1164.98,815.905,-1299.77,1085.47,837.831,-1184.13,936.658,807.27,-1250.99,952.72,800.145,-1197.96,854.386,1293.88,-1202.12,1562.3,1404.54,-1241.74,1351.12,1396.68,-1300.21,1195,,,,1400.72,-1126.62,984.668,1432.48,-1207.64,979.642,1446.97,-1135.15,884.367,984.627,-1159.52,1066.75,1298.06,-1208.51,1035.44,1063.05,-1384.12,1138.81,1141.75,-1391.59,1147.67,965.705,-1109.58,816.993,995.81,-1023.33,545.45,994.433,-1014.37,391.538,1017.02,-985.38,157.464,1053.89,-1077.11,132.022,1045.92,-897.979,152.526,1305.87,-1270.9,841.649,1259.73,-1307.98,578.859,1261.25,-1344.44,413.777,1222.97,-1394.63,164.775,1187.6,-1463.94,216.529,1203.72,-1341.34,132.697
6,0,1023.28,-1065.49,1775.59,1170.32,-1104.73,1795.29,1013.49,-1204.15,1746.06,1145.83,-1226.29,1742.74,1101.5,-1273.48,1580.75,1116.85,-1357.83,1319.63,1105.81,-1116.69,1493.87,1113.72,-1084.06,1370.2,1195.65,-1334.74,1496.88,958.788,-1215.88,1543.79,853.172,-1307.63,1328.18,864.372,-1343.36,1164.74,815.773,-1296.03,1084.79,837.413,-1182.15,934.52,806.841,-1248.78,951.427,799.646,-1197.06,852.46,1293.4,-1195.32,1561.69,1404.26,-1235.32,1350.59,1396.64,-1293.61,1194.38,,,,1400.71,-1119.62,984.392,1432.46,-1200.68,979.269,1446.95,-1127.95,884.129,985.115,-1153.72,1066.09,1298.36,-1204.05,1034.5,1062.83,-1378.53,1138.51,1141.5,-1386.23,1147.48,966.078,-1104.15,816.285,996.562,-1016.13,545.248,995.303,-1002.87,391.59,1017.95,-967.546,158.288,1054.39,-1059.01,130.719,1047.4,-880.094,155.14,1306.04,-1267.5,840.973,1259.86,-1306.05,578.42,1261.29,-1343.28,413.543,1223.08,-1394.26,164.9,1187.53,-1463.39,216.687,1203.93,-1341.06,132.481
7,0,1021.89,-1057.66,1773.77,1169.06,-1096.13,1793.93,1012.83,-1196.53,1744.84,1145.26,-1218.18,1741.97,1100.78,-1266.19,1579.96,1116.61,-1351.5,1319.17,1105.5,-1109.63,1492.57,1113.77,-1077.52,1368.78,1195.11,-1327.92,1496.53,958.254,-1208.48,1542.51,852.97,-1301.4,1327.44,864.419,-1338.28,1164.4,815.628,-1291.98,1084.02,836.948,-1179.84,932.351,806.377,-1246.29,950.147,799.111,-1195.81,850.513,1292.87,-1188.28,1560.98,1403.99,-1228.65,1350.04,1396.61,-1286.9,1193.77,,,,1400.62,-1112.36,984.15,1432.38,-1193.44,978.802,1446.85,-1120.49,883.883,985.562,-1147.73,1065.31,1298.75,-1199.44,1033.48,1062.68,-1372.67,1138.07,1141.27,-1380.53,1147.17,966.233,-1098.48,815.522,997.3,-1008.81,544.915,996.096,-991.498,391.695,1018.88,-950.238,159.289,1055.17,-1041.16,129.722,1048.58,-862.648,158.027,1306.26,-1264.03,840.367,1260.03,-1303.98,578.01,1261.36,-1341.97,413.321,1223,-1393.89,164.713,1187.32,-1462.71,216.852,1204.03,-1340.76,132.108
8,0,1020.48,-1049.69,1771.86,1167.82,-1087.45,1792.51,1012.07,-1188.74,1743.51,1144.62,-1209.82,1741.04,1100.13,-1258.64,1579.09,1116.38,-1344.98,1318.63,1105.11,-1102.46,1491.13,1113.65,-1070.78,1367.26,1194.53,-1320.84,1496.1,957.676,-1200.91,1541.17,852.75,-1294.98,1326.54,864.431,-1333,1163.9,815.387,-1287.68,1083.16,836.6,-1177.2,930.208,806.071,-1243.52,948.696,798.653,-1194.15,848.52,1292.25,-1181.11,1560.27,1403.59,-1221.79,1349.48,1396.54,-1279.93,1193.07,,,,1400.47,-1104.85,983.86,1432.24,-1186,978.381,1446.7,-1112.68,883.472,986.119,-1141.53,1064.51,1299.19,-1194.59,1032.44,1062.55,-1366.72,1137.57,1141.07,-1374.71,1146.7,966.264,-1092.54,814.656,997.833,-1001.45,544.61,996.838,-980.417,391.796,1019.82,-933.458,160.451,1056.21,-1023.62,128.791,1049.49,-845.756,161.032,1306.47,-1260.27,839.56,1260.05,-1301.84,577.506,1261.47,-1340.65,413.057,1222.97,-1393.55,164.625,1187.14,-1462.05,217.065,1204.11,-1340.44,131.82
9,0,1019.07,-1041.52,1769.87,1166.49,-1078.59,1790.97,1011.29,-1180.72,1742.1,1143.91,-1201.24,1739.93,1099.32,-1250.99,1578.11,1116.1,-1338.33,1318.06,1104.76,-1095.1,1489.69,1113.66,-1063.88,1365.65,1193.95,-1313.67,1495.63,957.072,-1193.18,1539.69,852.465,-1288.29,1325.5,864.396,-1327.45,1163.29,815.212,-1283.03,1082.13,836.199,-1174.28,927.952,805.706,-1240.33,947.295,798.191,-1192.07,846.49,1291.63,-1173.72,1559.45,1403.27,-1214.68,1348.87,1396.39,-1272.81,1192.38,,,,1400.24,-1097.11,983.527,1432.1,-1178.27,977.906,1446.48,-1104.67,883.248,986.643,-1135.14,1063.58,1299.55,-1189.48,1031.26,1062.43,-1360.58,1137.02,1140.87,-1368.64,1146.21,966.205,-1086.34,813.767,998.255,-994.037,544.228,997.421,-969.56,391.928,1020.63,-917.223,161.639,1057.35,-1006.69,128.182,1050.12,-829.452,164.068,1306.64,-1256.24,838.717,1260.1,-1299.49,576.967,1261.54,-1339.22,412.837,1222.99,-1393.05,164.601,1186.9,-1461.23,217.202,1204.13,-1340.1,131.482
