Trajectories
100
,,Daunel:LFHD,,,Daunel:RFHD,,,Daunel:LBHD,,,Daunel:RBHD,,,Daunel:C7,,,Daunel:T10,,,Daunel:CLAV,,,Daunel:STRN,,,Daunel:RBAK,,,Daunel:LSHO,,,Daunel:LUPA,,,Daunel:LELB,,,Daunel:LFRM,,,Daunel:LWRA,,,Daunel:LWRB,,,Daunel:LFIN,,,Daunel:RSHO,,,Daunel:RUPA,,,Daunel:RELB,,,Daunel:RFRM,,,Daunel:RWRA,,,Daunel:RWRB,,,Daunel:RFIN,,,Daunel:LASI,,,Daunel:RASI,,,Daunel:LPSI,,,Daunel:RPSI,,,Daunel:LTHI,,,Daunel:LKNE,,,Daunel:LTIB,,,Daunel:LANK,,,Daunel:LHEE,,,Daunel:LTOE,,,Daunel:RTHI,,,Daunel:RKNE,,,Daunel:RTIB,,,Daunel:RANK,,,Daunel:RHEE,,,Daunel:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,1079.37,-1190.17,1813.73,1205.44,-1277.3,1802.12,1019.23,-1309.68,1766.62,1134.9,-1371.83,1737.6,1095.14,-1382.5,1585.47,1096.06,-1438.26,1317.63,1096.12,-1215.43,1516.08,1096.27,-1168.63,1394.98,1182.68,-1435.09,1487.19,949.166,-1315.35,1565.56,831.48,-1346.05,1333.82,844.868,-1342.25,1163.44,811.201,-1265.48,1099.41,861.146,-1117.84,991.211,820.36,-1180.29,986.065,828.015,-1100.75,907.841,1287.26,-1303.63,1557.41,1370.07,-1302.34,1328.21,1341.95,-1332.41,1165.78,,,,1311.59,-1122.01,994.326,1342.43,-1199.42,968.748,1343.62,-1109.05,888.884,946.706,-1222.03,1065.33,1264.91,-1232.51,1046.37,1050.85,-1444.99,1137.82,1130.27,-1445.11,1141.54,901.992,-1257.71,801.769,909.964,-1245.84,518.754,896.962,-1264.93,367.64,899.033,-1274.69,128.517,944.289,-1366,119.793,916.788,-1185.64,101.621,1272.65,-1267.66,844.771,1224.91,-1278.26,577.757,1223.71,-1293.34,408.011,1185.85,-1312.41,158.276,1153.43,-1391.61,199.588,1159.77,-1250,129.038
2,0,1079.3,-1189.21,1813.35,1205.85,-1275.82,1802.18,1019.71,-1309.17,1766.68,1135.67,-1370.81,1737.91,1095.52,-1382.15,1585.55,1096.49,-1438.14,1317.65,1096.43,-1215.15,1515.96,1096.55,-1168.41,1394.89,1182.97,-1434.86,1487.29,949.576,-1315.12,1565.62,831.685,-1346.85,1334.24,844.664,-1343.76,1163.89,810.215,-1267.81,1099.43,858.555,-1120.89,989.589,818.295,-1183.68,985.225,824.747,-1104.84,906.313,1287.64,-1303.2,1557.25,1370.81,-1303.19,1328.3,1342.93,-1334.02,1166.13,,,,1314.52,-1124.97,992.817,1345.05,-1202.74,968.006,1347.07,-1113.09,887.396,946.94,-1222.05,1065.4,1264.71,-1230.98,1046.62,1051.3,-1444.97,1137.77,1130.73,-1445.04,1141.48,902.024,-1257.42,801.823,909.951,-1245.26,518.905,896.92,-1264.54,367.815,898.956,-1274.53,128.67,944.207,-1365.89,120.098,916.677,-1185.6,101.629,1272.85,-1267.06,844.644,1224.88,-1277.34,577.655,1223.66,-1292.5,407.911,1185.79,-1312.36,158.306,1153.6,-1391.38,199.589,1159.66,-1250,129.114
3,0,1079.18,-1188.19,1812.93,1206.11,-1274.27,1802.23,1020.22,-1308.6,1766.73,1136.47,-1369.8,1738.27,1095.93,-1381.75,1585.63,1096.92,-1438.02,1317.68,1096.79,-1214.88,1515.87,1096.87,-1168.18,1394.8,1183.3,-1434.57,1487.36,949.99,-1314.81,1565.69,831.938,-1347.67,1334.64,844.57,-1345.26,1164.34,809.143,-1270.31,1099.49,855.883,-1124.06,988.098,815.899,-1187.27,984.737,821.479,-1108.99,904.842,1288.05,-1302.84,1557.15,1371.56,-1304.11,1328.43,1343.96,-1335.73,1166.54,,,,1317.51,-1127.98,991.324,1347.69,-1206.12,967.249,1350.7,-1117.07,885.894,947.188,-1222.03,1065.47,1265.01,-1230.69,1046.51,1051.78,-1444.92,1137.72,1131.17,-1444.91,1141.36,902.09,-1257.06,801.911,909.916,-1244.48,519.083,896.888,-1264.07,368.02,898.923,-1274.37,128.885,944.112,-1365.81,120.438,916.554,-1185.54,101.654,1273.11,-1266.38,844.545,1224.85,-1276.38,577.564,1223.63,-1291.67,407.815,1185.72,-1312.2,158.273,1153.79,-1391.19,199.601,1159.57,-1250,129.144
4,0,1079.01,-1187.1,1812.51,1206.4,-1272.52,1802.29,1020.73,-1308.05,1766.74,1137.31,-1368.74,1738.69,1096.36,-1381.35,1585.68,1097.35,-1437.88,1317.71,1097.19,-1214.56,1515.76,1097.17,-1167.93,1394.7,1183.67,-1434.26,1487.41,950.427,-1314.47,1565.72,832.219,-1348.52,1335.02,844.435,-1346.79,1164.89,808.086,-1272.87,1099.66,853.096,-1127.28,986.534,813.57,-1190.83,984.071,818.138,-1113.24,903.479,1288.46,-1302.48,1557.06,1372.34,-1305.01,1328.56,1344.98,-1337.39,1166.89,,,,1320.57,-1131.07,989.795,1350.32,-1209.67,966.579,1354.27,-1121.35,884.448,947.457,-1221.95,1065.55,1265.43,-1230.67,1046.35,1052.28,-1444.86,1137.62,1131.65,-1444.73,1141.25,902.088,-1256.83,802.273,909.954,-1243.48,519.252,896.854,-1263.43,368.259,898.871,-1274.22,129.126,943.936,-1365.51,120.73,916.432,-1185.47,101.72,1273.31,-1265.81,844.416,1224.9,-1275.5,577.483,1223.63,-1290.96,407.705,1185.67,-1312.14,158.247,1153.92,-1391.03,199.612,1159.51,-1250,129.209
5,0,1078.8,-1185.98,1812.01,1206.68,-1270.68,1802.34,1021.29,-1307.46,1766.74,1138.23,-1367.62,1739.13,1096.81,-1380.91,1585.76,1097.77,-1437.73,1317.72,1097.6,-1214.19,1515.65,1097.54,-1167.66,1394.57,1184.07,-1433.85,1487.44,950.868,-1314.13,1565.76,832.482,-1349.41,1335.47,844.234,-1348.54,1165.61,807.073,-1275.39,1099.78,850.364,-1130.58,985.065,811.441,-1194.45,983.394,814.838,-1117.52,902.088,1288.87,-1302.11,1556.96,1373.11,-1305.9,1328.66,1346.04,-1339.16,1167.33,,,,1323.62,-1134.33,988.292,1353.01,-1213.3,965.974,1357.86,-1125.6,883.075,947.691,-1221.88,1065.67,1265.77,-1230.39,1046.26,1052.79,-1444.8,1137.54,1132.12,-1444.57,1141.17,902.149,-1256.36,802.542,909.966,-1242.26,519.466,896.831,-1262.54,368.544,898.854,-1273.99,129.434,943.865,-1365.83,121.738,916.322,-1185.4,101.765,1273.5,-1265.15,844.323,1225.02,-1274.78,577.377,1223.68,-1290.33,407.621,1185.65,-1312.07,158.22,1154.05,-1390.88,199.662,1159.41,-1249.99,129.257
6,0,1078.63,-1184.91,1811.4,1206.98,-1268.72,1802.37,1021.86,-1306.93,1766.76,1139.24,-1366.54,1739.57,1097.31,-1380.45,1585.82,1098.24,-1437.52,1317.72,1098.03,-1213.78,1515.54,1097.92,-1167.4,1394.45,1184.47,-1433.47,1487.48,951.337,-1313.77,1565.8,832.911,-1350.19,1335.77,844.166,-1350.21,1166.19,806.001,-1278,1100.01,847.572,-1133.93,983.678,808.864,-1198,982.8,811.469,-1121.93,900.833,1289.31,-1301.7,1556.87,1373.92,-1306.84,1328.84,1347.1,-1340.88,1167.74,,,,1326.69,-1137.58,986.906,1355.79,-1216.9,965.403,1361.34,-1130.14,881.667,947.926,-1221.74,1065.8,1266,-1229.9,1046.19,1053.38,-1444.56,1137.41,1132.63,-1444.35,1141.09,902.362,-1255.55,802.701,910.01,-1240.78,519.708,896.788,-1261.48,368.895,898.853,-1273.72,129.805,943.782,-1365.62,122.366,916.211,-1185.27,101.876,1273.64,-1264.56,844.226,1225.17,-1274.11,577.314,1223.7,-1289.81,407.509,1185.64,-1312.01,158.216,1154.2,-1390.73,199.673,1159.33,-1250,129.3
7,0,1078.3,-1183.76,1810.85,1207.28,-1266.62,1802.41,1022.48,-1306.37,1766.76,1140.33,-1365.15,1739.95,1097.79,-1379.98,1585.88,1098.72,-1437.27,1317.69,1098.47,-1213.33,1515.4,1098.28,-1167.09,1394.3,1184.89,-1433.05,1487.51,951.827,-1313.46,1565.82,833.153,-1351.13,1336.25,844.113,-1351.76,1166.7,805.063,-1280.58,1100.09,844.73,-1137.32,982.363,806.829,-1202.07,982.198,808.155,-1126.51,899.521,1289.77,-1301.23,1556.75,1374.73,-1307.76,1329.01,1348.17,-1342.67,1168.18,,,,1329.9,-1140.83,985.61,1358.49,-1220.45,964.853,1364.86,-1134.63,880.24,948.197,-1221.63,1065.95,1266.23,-1229.39,1046.14,1053.91,-1444.3,1137.27,1133.13,-1444.1,1141.02,902.559,-1254.43,802.657,910.025,-1238.97,519.967,896.809,-1260.28,369.259,898.856,-1273.5,130.248,943.786,-1365.14,122.754,916.161,-1185.16,102.016,1274.06,-1264.18,844.169,1225.31,-1273.53,577.267,1223.79,-1289.34,407.402,1185.67,-1311.98,158.179,1154.32,-1390.64,199.652,1159.25,-1250.04,129.277
8,0,1077.76,-1182.46,1810.43,1207.51,-1264.43,1802.47,1023.15,-1305.85,1766.77,1141.5,-1363.89,1740.46,1098.31,-1379.46,1585.92,1099.23,-1436.99,1317.66,1098.92,-1212.91,1515.27,1098.67,-1166.74,1394.15,1185.32,-1432.59,1487.54,952.339,-1313.11,1565.85,833.549,-1351.97,1336.64,844.064,-1353.43,1167.23,803.991,-1283.26,1100.38,841.968,-1140.71,981.055,804.444,-1205.74,981.62,804.863,-1130.99,898.34,1290.26,-1300.76,1556.63,1375.63,-1308.68,1329.16,1349.24,-1344.46,1168.59,,,,1332.92,-1144.08,984.234,1361.16,-1224.07,964.289,1368.74,-1138.94,879.167,948.509,-1221.55,1066.08,1266.5,-1228.86,1046.08,1054.33,-1444.39,1137.27,1133.64,-1443.85,1140.93,902.709,-1253.24,802.792,910.098,-1236.87,520.328,896.853,-1258.85,369.746,898.908,-1273.22,130.76,943.758,-1365.13,123.846,916.091,-1185.05,102.179,1274.26,-1263.89,844.393,1225.45,-1272.98,577.191,1223.93,-1288.9,407.305,1185.7,-1311.93,158.179,1154.47,-1390.55,199.608,1159.24,-1250.14,129.344
9,0,1077.29,-1181.26,1809.92,1207.84,-1262.06,1802.57,1023.84,-1305.26,1766.77,1142.7,-1362.46,1740.96,1098.89,-1378.9,1585.95,1099.72,-1436.69,1317.64,1099.34,-1212.49,1515.15,1098.98,-1166.36,1394.03,1185.75,-1432.09,1487.57,952.853,-1312.71,1565.89,833.833,-1352.88,1337.18,843.914,-1355.05,1167.78,803.119,-1285.84,1100.64,839.192,-1144.18,979.818,802.288,-1209.58,981.255,801.527,-1135.46,897.213,1290.76,-1300.23,1556.53,1376.57,-1309.66,1329.34,1350.38,-1346.24,1169.03,,,,1336.06,-1147.36,982.91,1363.87,-1227.74,963.789,1372.14,-1143.51,877.95,948.865,-1221.24,1066.35,1266.77,-1228.29,1045.99,1054.93,-1443.99,1137.11,1134.16,-1443.51,1140.84,902.703,-1251.9,802.954,910.155,-1234.4,520.69,896.975,-1257.17,370.153,898.971,-1272.91,131.429,943.815,-1364.82,124.791,916.102,-1184.89,102.402,1274.35,-1263.21,844.385,1225.59,-1272.49,577.11,1224.04,-1288.55,407.218,1185.69,-1311.95,158.114,1154.59,-1390.54,199.575,1159.2,-1250.42,129.356
